"","Well","Media","Strain","Yeast","Mutant","MediaStrain"
"1","A1","As","2490-M",2490,"Deletion","As-2490-M"
"2","A2","As","2490-H",2490,"Deletion","As-2490-H"
"3","A3","As","2490-J",2490,"Deletion","As-2490-J"
"4","A4","As","2490-D",2490,"Deletion","As-2490-D"
"5","A5","As","2490-Y",2490,"Deletion","As-2490-Y"
"6","A6","As","2491-M",2490,"Deletion","As-2491-M"
"7","A7","As","2491-H",2491,"Control","As-2491-H"
"8","A8","As","2491-J",2491,"Control","As-2491-J"
"9","A9","As","2491-D",2491,"Control","As-2491-D"
"10","A10","As","2491-Y",2491,"Control","As-2491-Y"
"11","A11","As","2490-EV",2491,"Control","As-2490-EV"
"12","A12","As","2491-EV",2491,"Control","As-2491-EV"
"13","B1","Glu","2490-M",2490,"Deletion","Glu-2490-M"
"14","B2","Glu","2490-H",2490,"Deletion","Glu-2490-H"
"15","B3","Glu","2490-J",2490,"Deletion","Glu-2490-J"
"16","B4","Glu","2490-D",2490,"Deletion","Glu-2490-D"
"17","B5","Glu","2490-Y",2490,"Deletion","Glu-2490-Y"
"18","B6","Glu","2491-M",2490,"Deletion","Glu-2491-M"
"19","B7","Glu","2491-H",2491,"Control","Glu-2491-H"
"20","B8","Glu","2491-J",2491,"Control","Glu-2491-J"
"21","B9","Glu","2491-D",2491,"Control","Glu-2491-D"
"22","B10","Glu","2491-Y",2491,"Control","Glu-2491-Y"
"23","B11","Glu","2490-EV",2491,"Control","Glu-2490-EV"
"24","B12","Glu","2491-EV",2491,"Control","Glu-2491-EV"
"25","C1","Ser","2490-M",2490,"Deletion","Ser-2490-M"
"26","C2","Ser","2490-H",2490,"Deletion","Ser-2490-H"
"27","C3","Ser","2490-J",2490,"Deletion","Ser-2490-J"
"28","C4","Ser","2490-D",2490,"Deletion","Ser-2490-D"
"29","C5","Ser","2490-Y",2490,"Deletion","Ser-2490-Y"
"30","C6","Ser","2491-M",2490,"Deletion","Ser-2491-M"
"31","C7","Ser","2491-H",2491,"Control","Ser-2491-H"
"32","C8","Ser","2491-J",2491,"Control","Ser-2491-J"
"33","C9","Ser","2491-D",2491,"Control","Ser-2491-D"
"34","C10","Ser","2491-Y",2491,"Control","Ser-2491-Y"
"35","C11","Ser","2490-EV",2491,"Control","Ser-2490-EV"
"36","C12","Ser","2491-EV",2491,"Control","Ser-2491-EV"
"37","D1","Thr","2490-M",2490,"Deletion","Thr-2490-M"
"38","D2","Thr","2490-H",2490,"Deletion","Thr-2490-H"
"39","D3","Thr","2490-J",2490,"Deletion","Thr-2490-J"
"40","D4","Thr","2490-D",2490,"Deletion","Thr-2490-D"
"41","D5","Thr","2490-Y",2490,"Deletion","Thr-2490-Y"
"42","D6","Thr","2491-M",2490,"Deletion","Thr-2491-M"
"43","D7","Thr","2491-H",2491,"Control","Thr-2491-H"
"44","D8","Thr","2491-J",2491,"Control","Thr-2491-J"
"45","D9","Thr","2491-D",2491,"Control","Thr-2491-D"
"46","D10","Thr","2491-Y",2491,"Control","Thr-2491-Y"
"47","D11","Thr","2490-EV",2491,"Control","Thr-2490-EV"
"48","D12","Thr","2491-EV",2491,"Control","Thr-2491-EV"
"49","E1","As","2490-M",2490,"Deletion","As-2490-M"
