Well,Media,Strain,Mutant,Plasmid
A1,Glu,2490,Deletion,YH
A2,Ser,2490,Deletion,YH
A3,Glu,2490,Deletion,YH
A4,Ser,2490,Deletion,YH
A5,As,2490,Deletion,YH
A6,As,2490,Deletion,YH
A7,NA,2490,Deletion,YH
A8,NA,2490,Deletion,YH
A9,NA,2490,Deletion,YH
A10,NA,2490,Deletion,YH
A11,NA,2490,Deletion,YH
A12,NA,2490,Deletion,YH
B1,Glu,2490,Deletion,EV
B2,Ser,2490,Deletion,EV
B3,Glu,2490,Deletion,EV
B4,Ser,2490,Deletion,EV
B5,As,2490,Deletion,EV
B6,As,2490,Deletion,EV
B7,NA,2490,Deletion,EV
B8,NA,2490,Deletion,EV
B9,NA,2490,Deletion,EV
B10,NA,2490,Deletion,EV
B11,NA,2490,Deletion,EV
B12,NA,2490,Deletion,EV
C1,Glu,2491,Control,YH
C2,Ser,2491,Control,YH
C3,Glu,2491,Control,YH
C4,Ser,2491,Control,YH
C5,As,2491,Control,YH
C6,As,2491,Control,YH
C7,NA,2491,Control,YH
C8,NA,2491,Control,YH
C9,NA,2491,Control,YH
C10,NA,2491,Control,YH
C11,NA,2491,Control,YH
C12,NA,2491,Control,YH
D1,Glu,2491,Control,EV
D2,Ser,2491,Control,EV
D3,Glu,2491,Control,EV
D4,Ser,2491,Control,EV
D5,As,2491,Control,EV
D6,As,2491,Control,EV
D7,NA,2491,Control,EV
D8,NA,2491,Control,EV
D9,NA,2491,Control,EV
D10,NA,2491,Control,EV
D11,NA,2491,Control,EV
D12,NA,2491,Control,EV
E1,Glu,2490,Deletion,YH
E2,Ser,2490,Deletion,YH
E3,Glu,2490,Deletion,YH
E4,Ser,2490,Deletion,YH
E5,As,2490,Deletion,YH
E6,As,2490,Deletion,YH
E7,NA,2490,Deletion,YH
E8,NA,2490,Deletion,YH
E9,NA,2490,Deletion,YH
E10,NA,2490,Deletion,YH
E11,NA,2490,Deletion,YH
E12,NA,2490,Deletion,YH
F1,Glu,2490,Deletion,EV
F2,Ser,2490,Deletion,EV
F3,Glu,2490,Deletion,EV
F4,Ser,2490,Deletion,EV
F5,As,2490,Deletion,EV
F6,As,2490,Deletion,EV
F7,NA,2490,Deletion,EV
F8,NA,2490,Deletion,EV
F9,NA,2490,Deletion,EV
F10,NA,2490,Deletion,EV
F11,NA,2490,Deletion,EV
F12,NA,2490,Deletion,EV
G1,Glu,2491,Control,YH
G2,Ser,2491,Control,YH
G3,Glu,2491,Control,YH
G4,Ser,2491,Control,YH
G5,As,2491,Control,YH
G6,As,2491,Control,YH
G7,NA,2491,Control,YH
G8,NA,2491,Control,YH
G9,NA,2491,Control,YH
G10,NA,2491,Control,YH
G11,NA,2491,Control,YH
G12,NA,2491,Control,YH
H1,Glu,2491,Control,EV
H2,Ser,2491,Control,EV
H3,Glu,2491,Control,EV
H4,Ser,2491,Control,EV
H5,As,2491,Control,EV
H6,As,2491,Control,EV
H7,NA,2491,Control,EV
H8,NA,2491,Control,EV
H9,NA,2491,Control,EV
H10,NA,2491,Control,EV
H11,NA,2491,Control,EV
H12,NA,2491,Control,EV
