,Well,Media,MediaReplicate,Strain,MutationPlasmid,Plasmid,StrainReplicate,Mutant
1,A1,As,1,2490,Deletion-A1,A1,1,Deletion
2,A2,Glu,1,2490,Deletion-A1,A1,1,Deletion
3,A3,Ser,1,2490,Deletion-A1,A1,1,Deletion
4,A4,Thr,1,2490,Deletion-A1,A1,1,Deletion
5,A5,As,2,2490,Deletion-A1,A1,1,Deletion
6,A6,Glu,2,2490,Deletion-A1,A1,1,Deletion
7,A7,Ser,2,2490,Deletion-A1,A1,1,Deletion
8,A8,Thr,2,2490,Deletion-A1,A1,1,Deletion
9,A9,Dem,1,2490,Deletion-A1,A1,1,Deletion
10,A10,Dem,5,2490,Deletion-A1,A1,1,Deletion
11,A11,Ons,1,2490,Deletion-A1,A1,1,Deletion
12,A12,Ons,5,2490,Deletion-A1,A1,1,Deletion
13,B1,As,1,2490,Deletion-A2,A2,1,Deletion
14,B2,Glu,1,2490,Deletion-A2,A2,1,Deletion
15,B3,Ser,1,2490,Deletion-A2,A2,1,Deletion
16,B4,Thr,1,2490,Deletion-A2,A2,1,Deletion
17,B5,As,2,2490,Deletion-A2,A2,1,Deletion
18,B6,Glu,2,2490,Deletion-A2,A2,1,Deletion
19,B7,Ser,2,2490,Deletion-A2,A2,1,Deletion
20,B8,Thr,2,2490,Deletion-A2,A2,1,Deletion
21,B9,Dem,1,2490,Deletion-A2,A2,1,Deletion
22,B10,Dem,5,2490,Deletion-A2,A2,1,Deletion
23,B11,Ons,1,2490,Deletion-A2,A2,1,Deletion
24,B12,Ons,5,2490,Deletion-A2,A2,1,Deletion
25,C1,As,1,2491,Control-A1,A1,1,Control
26,C2,Glu,1,2491,Control-A1,A1,1,Control
27,C3,Ser,1,2491,Control-A1,A1,1,Control
28,C4,Thr,1,2491,Control-A1,A1,1,Control
29,C5,As,2,2491,Control-A1,A1,1,Control
30,C6,Glu,2,2491,Control-A1,A1,1,Control
31,C7,Ser,2,2491,Control-A1,A1,1,Control
32,C8,Thr,2,2491,Control-A1,A1,1,Control
33,C9,Dem,1,2491,Control-A1,A1,1,Control
34,C10,Dem,5,2491,Control-A1,A1,1,Control
35,C11,Ons,1,2491,Control-A1,A1,1,Control
36,C12,Ons,5,2491,Control-A1,A1,1,Control
37,D1,As,1,2491,Control-A2,A2,1,Control
38,D2,Glu,1,2491,Control-A2,A2,1,Control
39,D3,Ser,1,2491,Control-A2,A2,1,Control
40,D4,Thr,1,2491,Control-A2,A2,1,Control
41,D5,As,2,2491,Control-A2,A2,1,Control
42,D6,Glu,2,2491,Control-A2,A2,1,Control
43,D7,Ser,2,2491,Control-A2,A2,1,Control
44,D8,Thr,2,2491,Control-A2,A2,1,Control
45,D9,Dem,1,2491,Control-A2,A2,1,Control
46,D10,Dem,5,2491,Control-A2,A2,1,Control
47,D11,Ons,1,2491,Control-A2,A2,1,Control
48,D12,Ons,5,2491,Control-A2,A2,1,Control
49,E1,As,1,2490,Deletion-A1,A1,2,Deletion
50,E2,Glu,1,2490,Deletion-A1,A1,2,Deletion
51,E3,Ser,1,2490,Deletion-A1,A1,2,Deletion
52,E4,Thr,1,2490,Deletion-A1,A1,2,Deletion
53,E5,As,2,2490,Deletion-A1,A1,2,Deletion
54,E6,Glu,2,2490,Deletion-A1,A1,2,Deletion
55,E7,Ser,2,2490,Deletion-A1,A1,2,Deletion
56,E8,Thr,2,2490,Deletion-A1,A1,2,Deletion
57,E9,Dem,1,2490,Deletion-A1,A1,2,Deletion
58,E10,Dem,5,2490,Deletion-A1,A1,2,Deletion
59,E11,Ons,1,2490,Deletion-A1,A1,2,Deletion
60,E12,Ons,5,2490,Deletion-A1,A1,2,Deletion
61,F1,As,1,2490,Deletion-A2,A2,2,Deletion
62,F2,Glu,1,2490,Deletion-A2,A2,2,Deletion
63,F3,Ser,1,2490,Deletion-A2,A2,2,Deletion
64,F4,Thr,1,2490,Deletion-A2,A2,2,Deletion
65,F5,As,2,2490,Deletion-A2,A2,2,Deletion
66,F6,Glu,2,2490,Deletion-A2,A2,2,Deletion
67,F7,Ser,2,2490,Deletion-A2,A2,2,Deletion
68,F8,Thr,2,2490,Deletion-A2,A2,2,Deletion
69,F9,Dem,1,2490,Deletion-A2,A2,2,Deletion
70,F10,Dem,5,2490,Deletion-A2,A2,2,Deletion
71,F11,Ons,1,2490,Deletion-A2,A2,2,Deletion
72,F12,Ons,5,2490,Deletion-A2,A2,2,Deletion
73,G1,As,1,2491,Control-A1,A1,2,Control
74,G2,Glu,1,2491,Control-A1,A1,2,Control
75,G3,Ser,1,2491,Control-A1,A1,2,Control
76,G4,Thr,1,2491,Control-A1,A1,2,Control
77,G5,As,2,2491,Control-A1,A1,2,Control
78,G6,Glu,2,2491,Control-A1,A1,2,Control
79,G7,Ser,2,2491,Control-A1,A1,2,Control
80,G8,Thr,2,2491,Control-A1,A1,2,Control
81,G9,Dem,1,2491,Control-A1,A1,2,Control
