Well,MediaStrain,Media,Strain,Yeast,Mutant
A1,Ser-2490-M,Ser,2490-M,2490,Deletion
A2,Ser-2490-H,Ser,2490-H,2490,Deletion
A3,Ser-2490-J,Ser,2490-J,2490,Deletion
A4,Ser-2490-D,Ser,2490-D,2490,Deletion
A5,Ser-2490-Y,Ser,2490-Y,2490,Deletion
A6,Ser-2490-456,Ser,2490-456,2490,Deletion
A7,Ser-2491-M,Ser,2491-M,2491,Control
A8,Ser-2491-H,Ser,2491-H,2491,Control
A9,Ser-2491-J,Ser,2491-J,2491,Control
A10,Ser-2491-D,Ser,2491-D,2491,Control
A11,Ser-2491-Y,Ser,2491-Y,2491,Control
A12,Ser-2491-456,Ser,2491-456,2491,Control
B1,As-2490-M,As,2490-M,2490,Deletion
B2,As-2490-H,As,2490-H,2490,Deletion
B3,As-2490-J,As,2490-J,2490,Deletion
B4,As-2490-D,As,2490-D,2490,Deletion
B5,As-2490-Y,As,2490-Y,2490,Deletion
B6,As-2490-456,As,2490-456,2490,Deletion
B7,As-2491-M,As,2491-M,2491,Control
B8,As-2491-H,As,2491-H,2491,Control
B9,As-2491-J,As,2491-J,2491,Control
B10,As-2491-D,As,2491-D,2491,Control
B11,As-2491-Y,As,2491-Y,2491,Control
B12,As-2491-456,As,2491-456,2491,Control
C1,Ser-2490-M,Ser,2490-M,2490,Deletion
C2,Ser-2490-H,Ser,2490-H,2490,Deletion
C3,Ser-2490-J,Ser,2490-J,2490,Deletion
C4,Ser-2490-D,Ser,2490-D,2490,Deletion
C5,Ser-2490-Y,Ser,2490-Y,2490,Deletion
C6,Ser-2490-456,Ser,2490-456,2490,Deletion
C7,Ser-2491-M,Ser,2491-M,2491,Control
C8,Ser-2491-H,Ser,2491-H,2491,Control
C9,Ser-2491-J,Ser,2491-J,2491,Control
C10,Ser-2491-D,Ser,2491-D,2491,Control
C11,Ser-2491-Y,Ser,2491-Y,2491,Control
C12,Ser-2491-456,Ser,2491-456,2491,Control
D1,As-2490-M,As,2490-M,2490,Deletion
D2,As-2490-H,As,2490-H,2490,Deletion
D3,As-2490-J,As,2490-J,2490,Deletion
D4,As-2490-D,As,2490-D,2490,Deletion
D5,As-2490-Y,As,2490-Y,2490,Deletion
D6,As-2490-456,As,2490-456,2490,Deletion
D7,As-2491-M,As,2491-M,2491,Control
D8,As-2491-H,As,2491-H,2491,Control
D9,As-2491-J,As,2491-J,2491,Control
D10,As-2491-D,As,2491-D,2491,Control
D11,As-2491-Y,As,2491-Y,2491,Control
D12,As-2491-456,As,2491-456,2491,Control
E1,Ser-2490-M,Ser,2490-M,2490,Deletion
E2,Ser-2490-H,Ser,2490-H,2490,Deletion
E3,Ser-2490-J,Ser,2490-J,2490,Deletion
E4,Ser-2490-D,Ser,2490-D,2490,Deletion
E5,Ser-2490-Y,Ser,2490-Y,2490,Deletion
E6,Ser-2490-456,Ser,2490-456,2490,Deletion
E7,Ser-2491-M,Ser,2491-M,2491,Control
E8,Ser-2491-H,Ser,2491-H,2491,Control
E9,Ser-2491-J,Ser,2491-J,2491,Control
E10,Ser-2491-D,Ser,2491-D,2491,Control
E11,Ser-2491-Y,Ser,2491-Y,2491,Control
E12,Ser-2491-456,Ser,2491-456,2491,Control
F1,As-2490-M,As,2490-M,2490,Deletion
F2,As-2490-H,As,2490-H,2490,Deletion
F3,As-2490-J,As,2490-J,2490,Deletion
F4,As-2490-D,As,2490-D,2490,Deletion
F5,As-2490-Y,As,2490-Y,2490,Deletion
F6,As-2490-456,As,2490-456,2490,Deletion
F7,As-2491-M,As,2491-M,2491,Control
F8,As-2491-H,As,2491-H,2491,Control
F9,As-2491-J,As,2491-J,2491,Control
F10,As-2491-D,As,2491-D,2491,Control
F11,As-2491-Y,As,2491-Y,2491,Control
F12,As-2491-456,As,2491-456,2491,Control
G1,Glu-2490-M,Glu,2490-M,2490,Deletion
G2,Glu-2490-H,Glu,2490-H,2490,Deletion
G3,Glu-2490-J,Glu,2490-J,2490,Deletion
G4,Glu-2490-D,Glu,2490-D,2490,Deletion
G5,Glu-2490-Y,Glu,2490-Y,2490,Deletion
G6,Glu-2490-456,Glu,2490-456,2490,Deletion
G7,Glu-2491-M,Glu,2491-M,2491,Control
G8,Glu-2491-H,Glu,2491-H,2491,Control
G9,Glu-2491-J,Glu,2491-J,2491,Control
G10,Glu-2491-D,Glu,2491-D,2491,Control
G11,Glu-2491-Y,Glu,2491-Y,2491,Control
G12,Glu-2491-456,Glu,2491-456,2491,Control
H1,Ser-2490-nP,Ser,2490-nP,2490,Deletion
H2,Ser-2490-nP,Ser,2490-nP,2490,Deletion
H3,As-2490-nP,As,2490-nP,2490,Deletion
H4,As-2490-nP,As,2490-nP,2490,Deletion
H5,Glu-2490-nP,Glu,2490-nP,2490,Deletion
H6,Glu-2490-nP,Glu,2490-nP,2490,Deletion
H7,Ser-2491-nP,Ser,2491-nP,2491,Control
H8,Ser-2491-nP,Ser,2491-nP,2491,Control
H9,As-2491-nP,As,2491-nP,2491,Control
H10,As-2491-nP,As,2491-nP,2491,Control
H11,Glu-2491-nP,Glu,2491-nP,2491,Control
H12,Glu-2491-nP,Glu,2491-nP,2491,Control
