"","X","Well","MediaMutation","Media","Concentration","Nutrient","Strain","Mutant","DemoPlotColumn"
"1",1,"A1","As-Deletion","As",1,"Mm",2490,"Deletion","yes"
"2",2,"A2","As-Deletion","As",5,"Mm",2490,"Deletion","no"
"3",3,"A3","Glu-Deletion","Glu",1,"Mm",2490,"Deletion","yes"
"4",4,"A4","Glu-Deletion","Glu",5,"Mm",2490,"Deletion","no"
"5",5,"A5","Ser-Deletion","Ser",1,"Mm",2490,"Deletion","yes"
"6",6,"A6","Ser-Deletion","Ser",5,"Mm",2490,"Deletion","no"
"7",7,"A7","Thr-Deletion","Thr",1,"Mm",2490,"Deletion","yes"
"8",8,"A8","Thr-Deletion","Thr",5,"Mm",2490,"Deletion","no"
"9",9,"A9","Dem-Deletion","Dem",1,"Mm",2490,"Deletion","yes"
"10",10,"A10","Dem-Deletion","Dem",5,"Mm",2490,"Deletion","no"
"11",11,"A11","Ons-Deletion","Ons",1,"Mm",2490,"Deletion","yes"
"12",12,"A12","Ons-Deletion","Ons",5,"Mm",2490,"Deletion","no"
"13",13,"B1","As-Control","As",1,"Mm",2491,"Control","yes"
"14",14,"B2","As-Control","As",5,"Mm",2491,"Control","no"
"15",15,"B3","Glu-Control","Glu",1,"Mm",2491,"Control","yes"
"16",16,"B4","Glu-Control","Glu",5,"Mm",2491,"Control","no"
"17",17,"B5","Ser-Control","Ser",1,"Mm",2491,"Control","yes"
"18",18,"B6","Ser-Control","Ser",5,"Mm",2491,"Control","no"
"19",19,"B7","Thr-Control","Thr",1,"Mm",2491,"Control","yes"
"20",20,"B8","Thr-Control","Thr",5,"Mm",2491,"Control","no"
"21",21,"B9","Dem-Control","Dem",1,"Mm",2491,"Control","yes"
"22",22,"B10","Dem-Control","Dem",5,"Mm",2491,"Control","no"
"23",23,"B11","Ons-Control","Ons",1,"Mm",2491,"Control","yes"
"24",24,"B12","Ons-Control","Ons",5,"Mm",2491,"Control","no"
"25",25,"C1","As-Deletion","As",1,"Mm",2492,"Deletion","yes"
"26",26,"C2","As-Deletion","As",5,"Mm",2492,"Deletion","no"
"27",27,"C3","Glu-Deletion","Glu",1,"Mm",2492,"Deletion","yes"
"28",28,"C4","Glu-Deletion","Glu",5,"Mm",2492,"Deletion","no"
