"","sample","k","n0","r","t_mid","t_gen","auc_l","auc_e","sigma","note","fullWellCode","wellNumber","instance","Media","Concentration","Nutrient","Strain","Mutant","DemoPlotColumn"
"1","A1a",0.254953311927439,0.0204879597724127,0.000124181268834974,19628.3260946572,5581.73698064783,16701.7480759656,16612.4368503001,0.00975578755627729,"","A1a_a_As_1_Mm_2490_Deletion_yes","A1a","a","As","1","Mm","2490","Deletion","yes"
"2","A2a",0.29009634365886,0.012480907254915,0.000157674992630904,19673.6129487801,4396.05018522188,19105.0113351479,19055.3151622996,0.00809217751053047,"","A2a_a_As_5_Mm_2490_Deletion_no","A2a","a","As","5","Mm","2490","Deletion","no"
"3","A3a",0.542726676367496,0.00734204932691875,0.000152606734648691,28107.327137314,4542.04843682429,31268.7649434919,31311.9523393999,0.0119834709319931,"","A3a_a_Glu_1_Mm_2490_Deletion_yes","A3a","a","Glu","1","Mm","2490","Deletion","yes"
"4","A4a",0.270232551386502,0.0177243886811183,6.75005322544935e-05,39355.2747551147,10268.7661476003,12452.2845993054,12459.8753880005,0.0116630253548015,"","A4a_a_Glu_5_Mm_2490_Deletion_no","A4a","a","Glu","5","Mm","2490","Deletion","no"
"5","A5a",0.364563557166617,0.020131488858145,5.5484313515325e-05,51178.6395612511,12492.6693085694,13149.6771832271,13121.7250447,0.0146848296919574,"","A5a_a_Ser_1_Mm_2490_Deletion_yes","A5a","a","Ser","1","Mm","2490","Deletion","yes"
"6","A6a",0.107451076110056,0.0235956435939433,3.87031183457374e-05,32763.0492673133,17909.336771472,5346.80273307966,5333.85633909985,0.0081971599522186,"","A6a_a_Ser_5_Mm_2490_Deletion_no","A6a","a","Ser","5","Mm","2490","Deletion","no"
"7","A7a",0.505506760574837,0.0316608214279581,3.63315550119653e-05,74475.2666288841,19078.3791206202,11902.0396210886,11893.4155781997,0.0185446688652781,"","A7a_a_Thr_1_Mm_2490_Deletion_yes","A7a","a","Thr","1","Mm","2490","Deletion","yes"
"8","A8a",0.394236477367212,0.019551348373975,4.92718496712548e-05,59933.6493831242,14067.81326832,11766.0311395744,11869.7405174512,0.0181752157153968,"","A8a_a_Thr_5_Mm_2490_Deletion_no","A8a","a","Thr","5","Mm","2490","Deletion","no"
"9","B1a",0.209596040594397,0.0171356536865481,0.000141677883750345,17072.0297510776,4892.41624882938,14281.0724856317,14203.2530687998,0.00985463222979873,"","B1a_a_As_1_Mm_2491_Control_yes","B1a","a","As","1","Mm","2491","Control","yes"
"10","B2a",0.20156872843155,0.00581084035569,0.000246668681239289,14258.6136721299,2810.03318734062,14398.5781692865,14380.3014903001,0.00491585168760661,"","B2a_a_As_5_Mm_2491_Control_no","B2a","a","As","5","Mm","2491","Control","no"
"11","B3a",0.497542597038332,0.0106002797903668,0.000135163060298523,28315.9116584895,5128.22940697738,28527.9373864775,28550.9795683006,0.0128332868115758,"","B3a_a_Glu_1_Mm_2491_Control_yes","B3a","a","Glu","1","Mm","2491","Control","yes"
"12","B4a",0.0528947761867448,0.000828347867530494,0.00052286825922081,7919.4756631829,1325.66314427441,4118.39449884611,4118.86731849975,0.00662791669461592,"","B4a_a_Glu_5_Mm_2491_Control_no","B4a","a","Glu","5","Mm","2491","Control","no"
"13","B5a",0.42184903405297,0.0114557933883931,0.000134780985227949,26551.3732721898,5142.76683307856,24913.0026636161,24922.0929965003,0.0233413844132353,"","B5a_a_Ser_1_Mm_2491_Control_yes","B5a","a","Ser","1","Mm","2491","Control","yes"
"14","B6a",0.618598680513285,0.00492146241242178,0.000125302145560045,38513.8126749038,5531.80615911952,29230.9573175558,29551.0476274513,0.0228639473281609,"","B6a_a_Ser_5_Mm_2491_Control_no","B6a","a","Ser","5","Mm","2491","Control","no"
"15","B7a",0.31812286725025,0.0285855144319471,5.05858160978372e-05,45771.4116614664,13702.4018594331,12924.4286926242,12908.8487465293,0.01325767826051,"","B7a_a_Thr_1_Mm_2491_Control_yes","B7a","a","Thr","1","Mm","2491","Control","yes"
"16","B8a",0.428120023986039,0.0130321842444404,6.94284566729811e-05,49850.8582311625,9983.61786759537,15692.1868147321,15770.3061384998,0.0138422622830934,"","B8a_a_Thr_5_Mm_2491_Control_no","B8a","a","Thr","5","Mm","2491","Control","no"
"17","C1a",0.225680167164106,0.0226610447962159,0.000110166290685493,19903.1191643998,6291.82644025628,14658.4957744853,14572.2054116995,0.0110946850690549,"","C1a_a_As_1_Mm_2492_Deletion_yes","C1a","a","As","1","Mm","2492","Deletion","yes"
"18","C2a",0.302817043216392,0.00695555854997853,0.000186476128933744,20111.6908515649,3717.08263424015,19856.7798684558,19851.5467597,0.00821081710549768,"","C2a_a_As_5_Mm_2492_Deletion_no","C2a","a","As","5","Mm","2492","Deletion","no"
"19","C3a",0.54192219363947,0.00740243870289596,0.000161190060401909,26549.7709871438,4300.18562454572,32068.3235772337,32065.0385690999,0.0149957724605099,"","C3a_a_Glu_1_Mm_2492_Deletion_yes","C3a","a","Glu","1","Mm","2492","Deletion","yes"
"20","C4a",0.309054801071454,0.0252100682393271,5.18004352919814e-05,46740.6096415755,13381.1072562018,12307.3790202577,12328.4023694902,0.01165386323997,"","C4a_a_Glu_5_Mm_2492_Deletion_no","C4a","a","Glu","5","Mm","2492","Deletion","no"
"21","C5a",1005934.37401588,0.0304078130396361,2.31403234639933e-05,748238.592488067,29954.083469857,8257.43251270696,8261.1694187998,0.0136381957918461,"","C5a_a_Ser_1_Mm_2492_Deletion_yes","C5a","a","Ser","1","Mm","2492","Deletion","yes"
"22","C6a",763504.267814366,0.0235668129818562,1.9860283816173e-05,870762.467889815,34901.1719558353,5336.30504491556,5353.21017754875,0.00886546481990214,"","C6a_a_Ser_5_Mm_2492_Deletion_no","C6a","a","Ser","5","Mm","2492","Deletion","no"
"23","C7a",0.684519096460714,0.0220570448236061,3.59841571975886e-05,94550.8105967303,19262.5653771431,9805.12786035406,9877.75682050975,0.0236870410149739,"","C7a_a_Thr_1_Mm_2492_Deletion_yes","C7a","a","Thr","1","Mm","2492","Deletion","yes"
"24","C8a",0.342780975337866,0.00943640183578806,6.36465849446776e-05,56006.177979798,10890.5635889567,10818.6434783443,10990.5495203001,0.0178755571836782,"","C8a_a_Thr_5_Mm_2492_Deletion_no","C8a","a","Thr","5","Mm","2492","Deletion","no"
"25","D1a",0.26374899113492,0.0194016170571363,0.000111022366903216,22817.3343057026,6243.31114435882,16434.8631891509,16339.5864806001,0.0121438016429001,"","D1a_a_As_1_Mm_2493_Control_yes","D1a","a","As","1","Mm","2493","Control","yes"
"26","D2a",0.282644023671667,0.0113289166366721,0.000161319760936774,19687.1259421853,4296.72829004259,18617.5468338435,18553.118392039,0.00647356760685152,"","D2a_a_As_5_Mm_2493_Control_no","D2a","a","As","5","Mm","2493","Control","no"
"27","D3a",0.647358491935685,0.0373451836984487,9.20596037975649e-05,30342.0469536248,7529.33047685222,35532.1589499503,35174.2061010195,0.0362009959532672,"","D3a_a_Glu_1_Mm_2493_Control_yes","D3a","a","Glu","1","Mm","2493","Control","yes"
"28","D4a",0.305595608759742,0.0154812673136021,5.19952502189578e-05,56363.694398342,13330.9711491151,9843.95212903439,9938.450157961,0.0167632752310967,"","D4a_a_Glu_5_Mm_2493_Control_no","D4a","a","Glu","5","Mm","2493","Control","no"
"29","D5a",0.506679996614751,0.00506962980603328,0.000162565497600331,28262.7982322955,4263.80253369664,29126.8420928614,29355.9695940998,0.0259308224204058,"","D5a_a_Ser_1_Mm_2493_Control_yes","D5a","a","Ser","1","Mm","2493","Control","yes"
"30","D6a",0.526225733878421,0.00387983136447918,0.000181980542735087,26939.9038672579,3808.90819503145,30957.5196158645,31134.1223355097,0.020475134623527,"","D6a_a_Ser_5_Mm_2493_Control_no","D6a","a","Ser","5","Mm","2493","Control","no"
"31","D7a",0.364089541729273,0.0090769581262376,9.22323478460176e-05,39751.9329484659,7515.22862366204,16725.5464759881,16874.9391569415,0.0131621374287163,"","D7a_a_Thr_1_Mm_2493_Control_yes","D7a","a","Thr","1","Mm","2493","Control","yes"
"32","D8a",0.30632919514462,0.00576473577885981,0.000111882476552444,35339.7872403163,6195.31495832625,15418.0680093968,15608.5224443999,0.0198215942889744,"","D8a_a_Thr_5_Mm_2493_Control_no","D8a","a","Thr","5","Mm","2493","Control","no"
"33","E1a",0.356646214887716,0.00847499329747243,0.000185827618483753,19994.7378260974,3730.05469378358,23426.544808597,23415.3814790999,0.00916671799312439,"","E1a_a_As_1_Csm_2490_Deletion_yes","E1a","a","As","1","Csm","2490","Deletion","yes"
"34","E2a",0.549877053203852,0.0259980643083874,0.000104279886802087,28799.788021978,6646.98823345932,31106.8923507017,30935.7671015293,0.0182710690102994,"","E2a_a_As_5_Csm_2490_Deletion_no","E2a","a","As","5","Csm","2490","Deletion","no"
"35","E3a",0.147579728458578,0.0242301322818898,5.4213670316864e-05,30018.7308001477,12785.4686190529,7874.53757225239,7852.55258650025,0.00941814271378058,"","E3a_a_Glu_1_Csm_2490_Deletion_yes","E3a","a","Glu","1","Csm","2490","Deletion","yes"
"36","E4a",0.523123328179423,0.0259146562757937,2.75521592394109e-05,107222.126849059,25157.6355427149,7409.56361677079,7417.74618150025,0.0103917365168863,"","E4a_a_Glu_5_Csm_2490_Deletion_no","E4a","a","Glu","5","Csm","2490","Deletion","no"
"37","E5a",0.343641727011134,0.0313164147046756,6.65324603435949e-05,34568.13274064,10418.1804938569,17283.2611206408,17207.378007039,0.0129614077775975,"","E5a_a_Ser_1_Csm_2490_Deletion_yes","E5a","a","Ser","1","Csm","2490","Deletion","yes"
"38","E6a",0.282122570115345,0.0301763230838165,5.99152859803205e-05,35419.3109748859,11568.7869834689,13908.1623689077,13822.1231390999,0.0122339802270858,"","E6a_a_Ser_5_Csm_2490_Deletion_no","E6a","a","Ser","5","Csm","2490","Deletion","no"
"39","E7a",0.354622652852847,0.0169424143217517,0.000114739766944103,26078.8328801466,6041.03702683674,21033.9119329127,21078.7768635683,0.0185465483317549,"","E7a_a_Thr_1_Csm_2490_Deletion_yes","E7a","a","Thr","1","Csm","2490","Deletion","yes"
"40","E8a",0.419002738674723,0.0173488856796793,0.000105196379934453,29868.5409048603,6589.07826478289,23282.1731012292,23272.0852024512,0.0139731479425548,"","E8a_a_Thr_5_Csm_2490_Deletion_no","E8a","a","Thr","5","Csm","2490","Deletion","no"
"41","F1a",0.29208984595899,0.0104929245800337,0.000175559687457725,18738.7865560476,3948.21379895004,19529.9063979091,19499.7569810195,0.00407443949914654,"","F1a_a_As_1_Csm_2491_Control_yes","F1a","a","As","1","Csm","2491","Control","yes"
"42","F2a",0.509283836632249,0.0278783015205504,0.000100927416262488,28226.8333596768,6867.7789071429,29057.0818469847,28859.9246062002,0.022847887858158,"","F2a_a_As_5_Csm_2491_Control_no","F2a","a","As","5","Csm","2491","Control","no"
